Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Marcus Morris,14.2,0.568,20.9,2.1,2.5,4.5,-0.2,-0.7,-0.9,0.6
Bogdan Bogdanović,14.1,0.53,22.3,1.3,1.4,2.7,-0.1,-0.6,-0.6,0.7
Tomáš Satoranský,14.1,0.59,14.1,3.8,0.9,4.7,-0.4,-0.3,-0.7,0.7
Kyle Kuzma,14,0.546,23.8,1.2,1.9,3.1,-0.2,-1.2,-1.4,0.4
Josh Richardson,14,0.536,20.9,3,2.6,5.6,0.1,0.2,0.3,1.5
Ricky Rubio,14,0.52,22.7,0.9,2.8,3.7,-1,0.8,-0.2,0.9
Aron Baynes,14,0.567,15.2,1.3,1.1,2.4,-1.8,0.3,-1.5,0.1
Derrick Jones Jr.,14,0.559,15.6,1.2,1.7,2.9,-1.5,1,-0.5,0.4
Elfrid Payton,14,0.502,18.3,0.6,0.9,1.5,-0.7,-0.7,-1.4,0.2
Noah Vonleh,13.9,0.561,14.8,1.5,1.7,3.2,-1.2,0.5,-0.7,0.6
Alex Caruso,13.9,0.569,19,0.5,0.6,1,-1,0.7,-0.2,0.2
Goran Dragić,13.9,0.517,23.7,0.6,1,1.6,-0.5,-0.6,-1.1,0.2
Jerami Grant,13.8,0.592,15.4,4,3.3,7.3,-0.4,0.6,0.2,1.5
Tyus Jones,13.7,0.491,14.1,2.1,0.9,3,-0.9,0.3,-0.6,0.6
Fred VanVleet,13.7,0.539,17.9,2.4,1.9,4.3,0.4,0.1,0.5,1.1
Malcolm Miller,13.7,0.63,18.5,0.1,0.1,0.2,1.2,-1.6,-0.5,0
Zaza Pachulia,13.7,0.539,15,1.1,1.3,2.3,-2.8,1.6,-1.2,0.2
Jeff Green,13.6,0.608,17.8,2.8,0.8,3.6,0,-1.4,-1.4,0.3
Tim Hardaway Jr.,13.6,0.527,25.4,1,0.9,1.8,-0.1,-2,-2,0
Pat Connaughton,13.6,0.573,13.3,2,1.9,3.9,0.3,0.8,1.2,1
Jaylen Brown,13.5,0.547,22.1,0.7,2.4,3,-1.6,-0.4,-2.1,0
Joe Harris,13.5,0.645,17,3.8,1.7,5.5,0.8,-0.3,0.5,1.4
Zach Collins,13.5,0.562,16.6,1.4,1.5,2.9,-1.5,0.3,-1.2,0.3
Jonas Jerebko,13.5,0.588,15.2,2.1,1.2,3.3,-0.3,-0.4,-0.7,0.4
Jake Layman,13.5,0.594,15.9,1.9,1.2,3.1,-0.1,-0.3,-0.5,0.5
Jeremy Lin,13.5,0.558,21.8,1.2,0.9,2.1,-1.4,-0.9,-2.2,-0.1
Raul Neto,13.5,0.558,19,0.5,0.6,1.1,-1.1,0.8,-0.3,0.2
Shai Gilgeous-Alexander,13.4,0.554,18.3,1.5,1.9,3.3,-0.9,0.4,-0.5,0.8
Joe Ingles,13.4,0.581,17.5,2.5,3.6,6,0.3,1.1,1.4,2.2
Brandon Ingram,13.4,0.555,23.2,0.6,1.4,2,-1.3,-0.7,-2,0
Andrew Bogut,13.4,0.523,14.5,0.1,0.2,0.3,-3.7,0.8,-2.9,0
Cristiano Felício,13.4,0.568,14.3,0.9,0.4,1.4,-2,-2.1,-4.1,-0.4
T.J. McConnell,13.4,0.555,15,1.2,1.7,2.9,-1.8,0.9,-0.9,0.4
Robert Covington,13.3,0.58,15.6,0.9,1.6,2.5,-0.5,2.1,1.6,1.1
Sam Dekker,13.3,0.519,16.2,0.6,0.5,1,-1,-0.7,-1.8,0.1
Michael Kidd-Gilchrist,13.3,0.553,15.7,1.5,1,2.5,-2.3,-0.1,-2.4,-0.1
Norman Powell,13.3,0.596,19,1,1.4,2.4,-0.9,0.2,-0.7,0.4
Al-Farouq Aminu,13.2,0.568,13.7,3,2.8,5.8,0.1,0.6,0.7,1.5
Patty Mills,13.2,0.572,18.5,2.2,1.2,3.5,0.4,-0.8,-0.3,0.8
Maurice Harkless,13.2,0.547,13.9,1.5,1.9,3.4,-1,1.7,0.7,1
Jon Leuer,13.2,0.616,16.1,0.4,0.5,0.9,-2.8,0.4,-2.5,0
Quincy Pondexter,13.2,0.641,13.5,0.5,0.3,0.8,-1.6,0.7,-0.9,0.1
Miles Bridges,13.1,0.548,15.1,1.4,1.5,2.9,-0.9,0.1,-0.8,0.5
Andre Iguodala,13.1,0.587,10.4,2.4,1.8,4.2,0.1,1.7,1.8,1.5
Maxi Kleber,13.1,0.579,13.5,1.6,1.8,3.5,-0.8,1.2,0.4,0.9
Dario Šarić,13.1,0.563,17.8,2.3,1.2,3.5,-0.3,-1.3,-1.6,0.2
Marcus Smart,13.1,0.568,14.6,2.2,3.1,5.3,-1.2,2,0.8,1.5
Quinn Cook,13.1,0.565,20.2,1,0.8,1.8,-0.5,-1.6,-2.1,0
Henry Ellenson,13.1,0.538,19,0.2,0.2,0.4,-1,-0.5,-1.5,0
Amir Johnson,13.1,0.574,17.4,0.4,0.7,1.1,-2.9,0.6,-2.3,0
Dāvis Bertāns,13,0.632,14.1,2.6,1.5,4,1.1,0.2,1.3,1.4
Danny Green,13,0.632,14.1,3,2.9,5.9,1.1,0.8,2,2.2
Jonathan Isaac,13,0.537,16.3,0.9,3.1,4,-1.4,1,-0.4,0.8
Georges Niang,13,0.613,17.8,0.7,0.7,1.3,-0.2,0.2,0,0.3
Kentavious Caldwell-Pope,12.9,0.568,18.1,2.3,1.8,4,-0.3,-0.1,-0.5,0.8
Draymond Green,12.9,0.526,13.1,1.1,3.2,4.3,-1.3,2.7,1.4,1.8
Terry Rozier,12.9,0.501,18.6,0.9,2.3,3.2,-0.7,0.5,-0.2,0.8
Jordan Bell,12.9,0.531,13.7,0.5,1.1,1.6,-2.2,1.3,-0.9,0.2
Bonzie Colson,12.9,0.454,19.6,0,0.2,0.2,-2.6,-0.8,-3.5,0
Harrison Barnes,12.8,0.55,20.9,2,1.6,3.6,-0.2,-1.2,-1.4,0.4
Jalen Brunson,12.8,0.549,19.1,1.5,1,2.6,-1.2,-0.5,-1.7,0.1
Justise Winslow,12.8,0.513,20.8,0.2,2.6,2.8,-1.3,0.6,-0.6,0.7
Kyle Anderson,12.8,0.569,12.6,0.8,1.8,2.7,-1.6,2.4,0.8,0.9
Marcin Gortat,12.8,0.562,14.4,0.6,0.8,1.4,-1.7,0.4,-1.3,0.1
B.J. Johnson,12.8,0.609,17.4,0,0,0.1,-2.3,-2,-4.3,0
Dennis Schröder,12.7,0.508,24.2,0.4,2.4,2.9,-1.3,-0.7,-2,0
Jonah Bolden,12.7,0.595,13.8,0.5,0.9,1.4,-1.8,1.1,-0.7,0.2
Alec Burks,12.7,0.523,19,0.7,0.8,1.5,-0.6,-0.7,-1.2,0.3
Yogi Ferrell,12.7,0.55,16.3,1.3,0.6,1.9,-1,-0.4,-1.4,0.2
Trey Lyles,12.7,0.5,23.4,-0.2,1.4,1.2,-1.8,-0.7,-2.4,-0.1
Marvin Williams,12.6,0.548,14.9,1.9,1.9,3.8,-0.4,0.2,-0.3,0.9
Skal Labissière,12.6,0.593,16,0.1,0.2,0.3,-2.9,-0.1,-3,0
Rondae Hollis-Jefferson,12.5,0.464,21.6,-0.5,1.7,1.2,-3,0.4,-2.6,-0.2
David Nwaba,12.5,0.558,14.6,1.1,0.3,1.4,-1.8,-0.3,-2.1,0
Tyler Johnson,12.4,0.532,18.5,0.9,1.4,2.3,-0.7,0.3,-0.4,0.6
