FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Kentavious Caldwell-Pope,24.8,18.2,0.867,0.346,0.529,11.4,2.9,1.3,0.89,0.16,0.79,5.6,112.8,107.7
Justin Jackson,20.8,12.9,0.82,0.346,0.517,6.7,2.8,1.3,0.44,0.25,0.42,5.6,114.3,110.5
Malik Beasley,23.2,18.7,0.848,0.402,0.583,11.3,2.5,1.2,0.68,0.12,0.68,5.6,117.1,107.8
Wayne Selden,14.2,19.3,0.759,0.317,0.466,5.4,1.3,1.1,0.31,0.19,0.72,5.6,98.1,104.4
Frank Jackson,19.2,18.5,0.74,0.312,0.492,8.1,2.2,1.1,0.41,0.03,0.77,5.6,102.2,110.2
John Jenkins,14.5,16.1,0.833,0.351,0.485,5.2,1.6,1,0,0.09,0.41,5.6,107.4,116.9
Shake Milton,13.4,15,0.714,0.318,0.471,4.4,1.7,0.9,0.4,0.4,0.3,5.6,104.3,103.1
Isaiah Canaan,7.6,11,0,0.4,0.5,1.5,1,0.8,0,0.25,0.5,5.6,95.3,105.1
Wilson Chandler,15,14.2,0.714,0.325,0.447,4.3,3.1,0.7,0.2,0.2,0.47,5.6,94,101
Jerome Robinson,9.7,16.6,0.667,0.316,0.482,3.4,1.2,0.6,0.33,0.09,0.36,5.6,96.5,100.4
Wesley Matthews,29.8,18.9,0.791,0.38,0.52,13.1,2.3,2.3,0.77,0.25,1.32,5.5,109,107.5
Landry Shamet,27.8,15,0.795,0.45,0.576,10.9,2.2,2.3,0.52,0.08,0.76,5.5,120.1,110.1
Justin Holiday,34.9,15.2,0.891,0.359,0.506,11.6,4.4,2.2,1.74,0.58,1.24,5.5,103.7,110
Austin Rivers,23.5,15.5,0.543,0.311,0.477,7.2,2.4,2,0.62,0.34,1.21,5.5,95.3,108.3
E'Twaun Moore,27.6,17.3,0.763,0.432,0.553,11.9,2.4,1.9,0.75,0.15,1.11,5.5,110.1,110.8
Kevin Knox,28.8,22.4,0.717,0.343,0.438,12.8,4.5,1.1,0.56,0.32,1.53,5.5,93.7,109.4
Jacob Evans,6.8,13.5,0,0.267,0.377,1.3,0.8,0.8,0.17,0.1,0.37,5.5,85.1,101.2
Alec Burks,9.7,8.6,0.8,0,0.45,1.7,1.7,0.8,0.62,0.08,0.31,5.5,103.4,107.5
Thabo Sefolosha,12.2,12.9,0.636,0.436,0.591,3.8,2.5,0.5,0.86,0.1,0.5,5.5,107.3,98.6
JR Smith,20.2,18.6,0.8,0.308,0.418,6.7,1.6,1.9,1,0.27,1,5.4,91.3,110.8
Josh Hart,25.6,13.5,0.688,0.336,0.506,7.8,3.7,1.4,0.96,0.6,0.87,5.4,103.4,104.8
Wes Iwundu,18.1,12.8,0.816,0.367,0.465,5,2.7,1.1,0.41,0.32,0.65,5.4,107.5,102
Torrey Craig,20,12.4,0.7,0.324,0.526,5.7,3.5,1,0.49,0.61,0.57,5.4,114.6,101.1
Thon Maker,19.4,13.7,0.766,0.307,0.459,5.5,3.7,0.9,0.38,1.14,0.83,5.4,104.3,103.3
Juancho Hernangomez,19.4,12.2,0.767,0.365,0.546,5.8,3.8,0.8,0.39,0.36,0.53,5.4,118.5,105.8
Jake Layman,18.7,15.9,0.704,0.326,0.579,7.6,3.1,0.7,0.44,0.42,0.65,5.4,117.6,105.4
Damion Lee,11.7,16.8,0.864,0.397,0.547,4.9,2,0.4,0.41,0,0.34,5.4,111.9,105.9
Tyler Lydon,3.7,10.7,0.333,0.4,0.611,0.9,0.7,0.2,0.08,0,0.16,5.4,,
Jason Smith,6.8,19.5,1,0.333,0.423,2.2,1.8,0.2,0.33,0.33,0.83,5.4,80,91
Dusty Hannahs,13,23.9,1,0,0.25,4,0.5,2.5,0.5,0,0.5,5.3,78.3,111.7
Wesley Matthews,31.5,15.8,0.854,0.369,0.498,10.9,2.8,2.4,0.87,0.17,1.35,5.3,105.9,104.8
Billy Garrett,15.9,20.7,1,0,0.407,6.5,0.8,1.8,0.25,0.25,0.5,5.3,97.6,115.5
Courtney Lee,12.2,15.1,0.714,0.282,0.457,3.6,1.2,1,0.59,0.05,0.41,5.3,97.5,106.1
Dante Cunningham,14.5,8.9,0.778,0.462,0.57,3,2.9,0.8,0.41,0.2,0.34,5.3,121.8,105.5
Tyson Chandler,16.4,8,0.594,0,0.609,3.1,5.6,0.6,0.4,0.5,0.73,5.3,122.7,99.5
Derrick Jones Jr.,19.2,15.6,0.607,0.308,0.535,7,4,0.6,0.77,0.7,0.7,5.3,113.7,100
Ryan Broekhoff,10.8,14.3,0.789,0.404,0.598,4,1.5,0.5,0.14,0.1,0.38,5.3,115.8,106.7
Alfonzo McKinnie,13.9,13.9,0.563,0.356,0.562,4.7,3.4,0.4,0.26,0.21,0.42,5.3,116.7,99.8
Mikal Bridges,29.5,12.2,0.805,0.335,0.523,8.3,3.2,2.1,1.55,0.46,0.85,5.2,112.1,111.3
Garrett Temple,19.6,11.1,0.742,0.296,0.476,4.7,2.5,1.4,1.04,0.19,0.62,5.2,106.9,100.3
Naz Mitrou-Long,6,14.7,1,0.182,0.35,1.1,0.4,1.1,0.07,0.07,0.57,5.2,81.7,100
Danuel House Jr.,25.1,14.1,0.789,0.416,0.615,9.4,3.6,1,0.54,0.28,0.9,5.2,123,107.1
Timothe Luwawu-Cabarrot,18.8,16.5,0.771,0.33,0.483,6.8,2.7,0.8,0.52,0.24,0.55,5.2,101.4,105.5
Kelly Oubre Jr.,26,20.9,0.8,0.311,0.5,12.9,4.4,0.7,0.93,0.69,1.03,5.2,105.6,107.5
Cameron Reynolds,13.7,14.1,0.889,0.412,0.558,5,1.6,0.7,0.32,0.11,0.26,5.2,118,107.4
Troy Williams,14.9,15,0.6,0.318,0.52,5.3,2.8,0.5,0.48,0.38,0.43,5.2,106.5,102.7
James Nunnally,4.9,15.6,1,0.385,0.548,2.1,0.3,0.4,0.08,0,0.08,5.2,124.4,113.1
Marcus Derrickson,6.1,24.3,0.8,0.5,0.636,4.2,1.2,0.1,0,0.09,0.27,5.2,124,103.7
Eric Gordon,31.7,22,0.783,0.36,0.525,16.2,2.2,1.9,0.6,0.4,1.32,5.1,108.2,110.6
Solomon Hill,20,10.4,0.719,0.317,0.472,4.3,3,1.3,0.52,0.23,0.7,5.1,103.5,108
Josh Okogie,23.7,15.4,0.728,0.279,0.445,7.7,2.9,1.2,1.19,0.45,0.85,5.1,100.9,106.6
Jerami Grant,32.7,15.4,0.71,0.392,0.567,13.6,5.2,1,0.76,1.25,0.84,5.1,119.5,103.8
Tony Snell,17.6,12.9,0.881,0.397,0.564,6,2.1,0.9,0.35,0.24,0.31,5.1,119.1,103.6
