Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Keita Bates-Diop,14.9,0.609,16.7,2.1,0.6,2.7,0.3,-0.9,-0.6,0.5
Nicolas Batum,11,0.594,11.5,1.7,1.9,3.6,-0.8,1.2,0.5,1
Darius Bazley,13.1,0.524,16.4,0.1,0.9,1,-2,1,-1,0.2
Bradley Beal,19.7,0.593,29.2,2.2,1.2,3.4,2.9,-1.2,1.8,1.6
Malik Beasley,10.9,0.531,21.1,-0.2,1.6,1.4,-0.9,-1,-2,0
MarJon Beauchamp,8.2,0.513,18.3,-0.4,0.8,0.4,-4.1,-0.6,-4.8,-0.5
Dāvis Bertāns,11.9,0.618,16.2,0.6,0.3,0.9,0,-1.3,-1.2,0.1
Patrick Beverley,8.9,0.534,10.6,0.8,2.1,3,-2.9,1.7,-1.2,0.3
Saddiq Bey,14.6,0.564,20.2,2.6,1.2,3.9,0.9,-1.2,-0.3,0.9
Khem Birch,9.4,0.629,11.1,0.1,0.2,0.2,-4.6,1.1,-3.5,-0.1
Goga Bitadze,17.1,0.582,15.4,0.8,0.6,1.3,-0.8,1.1,0.3,0.3
Bismack Biyombo,14.4,0.555,14,0.2,1.6,1.9,-3.4,2.5,-0.9,0.2
Buddy Boeheim,0.5,0.287,13.2,-0.2,0,-0.2,-7.5,-2,-9.5,-0.2
Bogdan Bogdanović,14.2,0.586,19.8,1.8,1,2.8,1.1,-0.7,0.5,0.9
Bojan Bogdanović,17.4,0.627,25.9,3.1,0.4,3.5,2.6,-1.8,0.8,1.4
Bol Bol,14.4,0.603,18.2,0,2.2,2.3,-1.8,0.9,-0.9,0.4
Leandro Bolmaro,-5,0.15,16.6,-0.4,0,-0.3,-12.4,-2.3,-14.7,-0.2
Devin Booker,22,0.601,31.8,4.2,1.9,6,4.5,-0.3,4.2,2.9
Brandon Boston Jr.,13.4,0.515,26.5,0,0.2,0.2,-1.5,-0.7,-2.2,0
Chris Boucher,18,0.59,18,3,2,5,0.7,-0.8,-0.1,0.7
James Bouknight,6.2,0.463,19.5,-0.8,0.4,-0.4,-5.4,-1.1,-6.5,-0.6
Jamaree Bouyea,6.5,0.504,11.8,-0.1,0.1,0,-5.8,1.6,-4.2,0
Tony Bradley,21.7,0.69,19.8,0.1,0.1,0.2,4.4,0.5,4.9,0.1
Malaki Branham,9.5,0.524,19.1,-0.4,0.2,-0.1,-3,-2.1,-5.2,-1.3
Jarrell Brantley,18.5,0.739,18.1,0.1,0,0.1,3.1,0.4,3.5,0.1
Christian Braun,10.3,0.568,13,0.7,1.2,1.9,-2.5,0.1,-2.4,-0.1
Mikal Bridges,16.8,0.587,22.6,4.4,3.1,7.5,1.5,0.2,1.7,2.8
Oshae Brissett,10.6,0.52,16.1,0.4,0.7,1.1,-2,-1.2,-3.2,-0.3
