FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Serge Ibaka,2,9.2,22.2,1,0,0.5,5,2,1,0.5,1.5,0.5,9.4,132.1,106.8
Derrick Jones Jr.,2,5.3,21.5,0,0,0.4,2,0,0,0.5,0,0,0,84,98.5
Luke Kornet,2,2.7,14.7,0.5,0,1,1.5,1.5,0,0,0,0,0,,
Alfonzo McKinnie,2,5.9,11.5,0,0,0,0,0.5,0,0,0,0,0,0,104.9
Juwan Morgan,2,2.9,0,0,0,,0,1,0.5,0,0,0,0,,
Semi Ojeleye,2,6,17.2,0.5,0,0,0.5,0,0,0.5,0.5,0,0,25.5,118.3
KZ Okpala,2,2.9,7.6,0,0,0,0,0,0,0,0,0,0,,
Elfrid Payton,2,6.6,19.9,0.5,0,0,0.5,0,0.5,0.5,0,0,0,31.4,105
Max Strus,2,2.9,7.6,0,0,0,0,0,0,0,0,0,0,,
Udoka Azubuike,1,1.2,0,0,0,,0,1,0,0,0,0,0,,
Tacko Fall,1,0.9,0,0,0,,0,1,0,0,0,0,0,,
Harry Giles III,1,3.6,50.1,0,0,0,0,3,0,0,0,3,0,,
Josh Green,1,4.2,0,0,0,,0,0,0,0,0,0,0,,123.5
Ersan Ilyasova,1,3.4,37.5,1,0,0.5,4,0,0,0,0,0,0,,
John Konchar,1,2.8,15.1,0,0,0,0,1,0,0,1,0,0,,
Anthony Tolliver,1,1.7,0,0,0,,0,0,0,0,0,0,0,,
Rayjon Tucker,1,1.7,22.3,0.5,0,,1,0,0,0,0,0,0,,
Justise Winslow,1,2.8,0,0,0,,0,1,1,0,0,0,0,,
Cassius Winston,1,5.5,38,0,0,0.333,2,2,1,0,0,2,11.5,61.3,98.6
Ty-Shon Alexander,1,1.3,35.1,0,0,1,2,0,0,0,0,0,0,,
