Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
John Collins,18.7,0.61,13.9,20.5,3.6,1.4,5.1,1.5,0,1.5,1.5
Zach Collins,16.4,0.594,16,19.2,0.6,0.7,1.2,-1.2,1,-0.2,0.2
Darren Collison,-0.2,0.286,5.8,9.3,-0.1,0,-0.1,-10,-0.9,-10.9,-0.1
Mike Conley,17.2,0.572,5.8,20.9,4.4,2.3,6.7,2.4,0.7,3.1,2.7
Pat Connaughton,13.4,0.62,8.6,14,2.8,1.6,4.4,0.8,0.3,1.2,1.4
Tyler Cook,13,0.643,14.9,13,0.4,0.2,0.5,-3,-1.1,-4.1,-0.1
Sharife Cooper,-5.4,0.25,7,21.3,-0.2,0,-0.2,-11.3,-5,-16.3,-0.1
Petr Cornelie,9.6,0.418,20.6,24,-0.1,0,0,-6.1,-2.7,-8.8,-0.1
DeMarcus Cousins,18.2,0.567,20.6,28.1,0.3,1.3,1.6,-1.8,0.2,-1.6,0.1
Robert Covington,12.4,0.572,11,13.5,0.8,2.4,3.2,-1.6,1.7,0.2,1.1
Torrey Craig,11,0.556,10.7,14.3,0.9,1.4,2.3,-1.7,-0.1,-1.8,0.1
Jae Crowder,11.3,0.541,10.1,14.6,0.9,3.4,4.3,-1.3,2.4,1.1,1.5
Jarrett Culver,8.7,0.433,7.4,20.6,-0.4,0.5,0.1,-5.7,0.3,-5.4,-0.3
Jarron Cumberland,8.4,0.5,13.7,7.2,0,0,0,-4.4,-2.2,-6.6,0
Cade Cunningham,13.1,0.504,9.2,27.5,-2.4,1.9,-0.5,-1.1,-0.5,-1.6,0.2
Seth Curry,13.7,0.615,5.2,18.5,2.7,1.5,4.2,0.3,-0.9,-0.6,0.8
Stephen Curry,21.4,0.601,8.3,30.8,4.6,3.4,8,5.4,0.4,5.8,4.4
Anthony Davis,23.9,0.578,15.1,27.1,2.6,2,4.5,2.6,1.2,3.8,2
Ed Davis,9.3,0.632,17.6,6,0.2,0.3,0.5,-4.2,2.5,-1.8,0
Terence Davis,14.6,0.543,9.5,25.6,0,0.5,0.5,-0.6,-0.4,-0.9,0.2
Gabriel Deck,11.5,0.643,5.5,12.3,0.1,0,0.1,-1.2,-1.3,-2.5,0
Dewayne Dedmon,15.9,0.632,20.6,16.9,1.5,2,3.5,-2.2,1.1,-1,0.3
Sam Dekker,0,,0,0,0,0,0,-6.2,-3.4,-9.6,0
Javin DeLaurier,15.6,,17.7,0,0,0,0,-4.8,11.8,7,0
DeMar DeRozan,23.1,0.59,8,31.8,7,1.8,8.8,3.4,-0.9,2.5,3.1
Mamadi Diakite,11.6,0.54,16.1,13.5,0.1,0.3,0.3,-5.9,0.9,-5,-0.1
Cheick Diallo,12.3,0.517,20.9,16.1,0,0,0.1,-4.2,-3.3,-7.5,0
Hamidou Diallo,15.7,0.541,11.8,21.8,0.6,1.5,2.1,-1.2,0.7,-0.5,0.5
Gorgui Dieng,17.3,0.624,17.8,16.9,0.8,0.4,1.2,1.4,0.8,2.1,0.4
Spencer Dinwiddie,15.1,0.543,7.8,21.4,2.7,1.4,4.1,0.8,-0.4,0.3,1.2
Donte DiVincenzo,11.3,0.51,9.1,18.9,-0.1,0.9,0.7,-1.8,-0.5,-2.3,-0.1
Luka Dončić,25.1,0.571,14.3,37.4,3.8,3.8,7.6,6.4,1.8,8.2,5.9
Luguentz Dort,12.3,0.541,6.5,23.3,0.2,1.1,1.4,-1.5,-0.7,-2.3,-0.1
Ayo Dosunmu,11.2,0.596,5.7,14.1,1.7,1.3,3,-1.9,-0.1,-2,0
Damyean Dotson,6.4,0.5,5.1,8.3,0,0,0,-3.7,-1.2,-4.9,0
Devon Dotson,9.8,0.538,6,16.6,0.1,0,0.1,-3.4,-1.5,-4.9,-0.1
Sekou Doumbouya,40.7,0.717,20.2,31.6,0,0.1,0.1,8.8,10,18.8,0.1
Jeff Dowtin,6.8,0.353,8.9,12.8,-0.1,0.1,0,-5.7,0.1,-5.6,-0.1
PJ Dozier,8.7,0.463,10.3,15.2,-0.1,0.4,0.3,-3,1,-2,0
Goran Dragić,10,0.474,7.1,17.2,-0.1,0.4,0.4,-2.8,-0.5,-3.3,-0.2
Andre Drummond,21,0.574,26.2,19,2,3.1,5.1,-0.1,1.4,1.3,1.2
Chris Duarte,12.3,0.537,8.2,21.1,0.2,0.7,0.9,-1.2,-1.1,-2.3,-0.1
David Duke Jr.,10,0.444,10.7,15.9,0,0.3,0.3,-3,-0.9,-3.9,-0.2
Kris Dunn,12.5,0.482,8,18.3,-0.1,0.3,0.2,-4.6,-0.8,-5.4,-0.3
Kevin Durant,25.6,0.634,10.8,31.2,6.4,2,8.4,6.4,0.7,7.2,4.8
Jaime Echenique,0,,0,0,0,0,0,-5.5,-3,-8.5,0
Anthony Edwards,16.5,0.56,7.5,26.4,1.8,2.4,4.3,1.6,-0.4,1.2,2
Carsen Edwards,5.5,0.378,4.1,19.2,-0.1,0,-0.1,-6,-3.4,-9.3,-0.1
Kessler Edwards,8.3,0.516,9.5,13.8,-0.2,0.9,0.6,-3.1,-0.8,-3.8,-0.5
Rob Edwards,-0.8,0.375,14,19.6,-0.1,0,0,-8.3,-2.9,-11.2,0
CJ Elleby,9.2,0.491,10.6,14.8,-0.1,0.5,0.4,-3.8,-1.5,-5.3,-1
Wayne Ellington,9.9,0.593,5.1,13.8,0.6,0.4,1,-0.7,-0.6,-1.4,0.1
Joel Embiid,31.2,0.616,19.4,37.2,7.9,4.1,12,7.2,2,9.2,6.5
James Ennis III,17.7,0.553,11.6,22,0.1,0.1,0.1,-0.1,-1,-1.1,0
Drew Eubanks,18,0.638,16.5,17.5,2.2,1.1,3.4,-0.5,-0.9,-1.4,0.2
Tacko Fall,11.3,0.398,21.6,13.6,-0.1,0.1,0.1,-4.1,0.8,-3.4,0
Derrick Favors,13.6,0.534,14.5,13.4,0.8,0.7,1.4,-2.3,0.3,-2.1,0
Bruno Fernando,21.2,0.671,19.8,22.4,0.2,0.2,0.4,-0.4,0.2,-0.1,0.1
Dorian Finney-Smith,12.5,0.604,7.9,13.8,3.4,3.2,6.6,0.1,0.7,0.8,1.9
Malik Fitts,10.7,0.553,14.7,14.6,0.1,0.1,0.1,-0.6,-0.5,-1.1,0
Malachi Flynn,11.7,0.488,6.4,16.5,0.5,0.5,1,-1.8,0.4,-1.5,0.1
Bryn Forbes,11.5,0.574,3.9,21.2,0.8,0.6,1.4,-0.7,-2.2,-2.9,-0.3
Aleem Ford,0.5,0.35,10.7,14,-0.2,0.1,-0.2,-9.1,-2.2,-11.4,-0.2
Trent Forrest,10.9,0.554,7.1,12.8,0.5,0.8,1.3,-2.3,1.2,-1,0.2
Evan Fournier,12.3,0.554,4.8,20.8,1.5,2.2,3.7,-0.4,-0.3,-0.7,0.7
De'Aaron Fox,17.4,0.549,6,29.1,1.5,1,2.5,0.6,-1.2,-0.6,0.7
Melvin Frazier,-0.4,0.313,5.6,19.5,-0.4,0,-0.4,-9.7,-6.7,-16.4,-0.4
Tim Frazier,3.3,0.398,4.8,13.3,-0.3,0.1,-0.2,-6.8,-1.8,-8.6,-0.3
Enes Freedom,15,0.585,21,13.9,0.6,0.7,1.4,-1.2,-0.2,-1.4,0.1
Markelle Fultz,17.7,0.517,7.2,27.5,0,0.4,0.4,-0.1,0.4,0.2,0.2
