Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Collin Sexton,18,0.573,29.7,2.6,0.9,3.5,0.08,1.8,-1.9,-0.2,1
Landry Shamet,10.3,0.578,16.7,1.2,0.6,1.8,0.063,-1,-1.5,-2.4,-0.2
Iman Shumpert,-0.4,0.25,19.8,-0.1,0,0,-0.212,-10.4,-2.2,-12.6,0
Pascal Siakam,17.7,0.547,26.3,2.3,2,4.2,0.101,1,-0.3,0.8,1.4
Chris Silva,11.5,0.708,15.9,0.1,0.1,0.2,0.101,-6.7,1.1,-5.5,-0.1
Ben Simmons,18.3,0.584,20.2,2.7,3.3,6,0.153,0.7,2.2,2.9,2.3
Anfernee Simons,12.3,0.589,18.3,1.5,0.3,1.8,0.078,0.6,-1.6,-1,0.3
Deividas Sirvydis,5.7,0.481,15.7,-0.1,0.1,0,-0.01,-4.2,-1.2,-5.4,-0.1
Alen Smailagić,8.9,0.472,17.6,-0.1,0.1,0,0.015,-4.9,-0.4,-5.3,-0.1
Marcus Smart,13.8,0.539,18.4,1.8,1.5,3.3,0.1,-0.4,0.2,-0.3,0.7
Dennis Smith Jr.,13.6,0.492,19,0.1,0.5,0.6,0.07,-1.1,1.5,0.4,0.3
Ish Smith,11.6,0.473,15.8,0.2,0.9,1.1,0.056,-2.1,0.5,-1.5,0.1
Jalen Smith,8.4,0.499,17.1,-0.1,0.2,0.1,0.022,-4.8,-1.3,-6.1,-0.2
Tony Snell,9.5,0.708,8.6,1.6,0.5,2,0.099,-0.4,-0.1,-0.5,0.4
Ray Spalding,0.8,0.41,17.6,-0.1,0,-0.1,-0.184,-12.2,-2.1,-14.3,-0.1
Cassius Stanley,5.5,0.383,22,-0.2,0.1,-0.1,-0.05,-7.2,-4,-11.2,-0.2
Lamar Stevens,10.5,0.521,15.8,0,0.5,0.4,0.043,-4.2,0,-4.2,-0.3
Isaiah Stewart,16.4,0.597,15.5,1.9,2.1,4,0.132,-1.6,0.5,-1.1,0.3
Max Strus,12.1,0.597,18.3,0.6,0.3,0.9,0.088,-0.5,-1.7,-2.2,0
Edmond Sumner,12.7,0.626,18.3,0.7,0.7,1.4,0.077,-2.3,-0.5,-2.8,-0.2
Jae'Sean Tate,13.8,0.576,16.4,2.2,1.6,3.8,0.088,-1.6,0.3,-1.4,0.3
Jayson Tatum,21.3,0.576,30.8,4.1,2.5,6.5,0.137,4.2,-0.3,3.9,3.4
Jeff Teague,12.3,0.562,17.7,0.8,0.8,1.6,0.079,-1.7,-0.5,-2.2,-0.1
Garrett Temple,8.2,0.525,13.1,0.2,1.4,1.6,0.05,-3.3,0.3,-3.1,-0.4
Tyrell Terry,6,0.318,15.3,-0.1,0.1,-0.1,-0.049,-7.5,2.6,-5,0
Daniel Theis,15,0.609,15.6,2.4,1.8,4.3,0.128,-0.7,0.7,0,0.8
Brodric Thomas,8,0.487,16.4,-0.3,0.3,0.1,0.006,-4.7,0.3,-4.4,-0.2
Isaiah Thomas,2.4,0.412,29.7,-0.2,0,-0.2,-0.179,-7.8,-5.2,-13.1,-0.1
Khyri Thomas,21.3,0.586,21.1,0.4,0.1,0.5,0.164,2.5,-0.1,2.4,0.2
Matt Thomas,9.1,0.522,19.5,0,0.2,0.2,0.031,-2.6,-2,-4.6,-0.2
Tristan Thompson,14.2,0.54,14.8,1.5,1.4,2.9,0.107,-1.5,-1,-2.5,-0.2
Sindarius Thornwell,6.6,0.414,11.1,-0.2,0.2,0,0.009,-5.7,0.9,-4.7,-0.2
Matisse Thybulle,10.1,0.508,9.4,0.1,2.7,2.8,0.102,-2.6,4.5,1.9,1.3
Killian Tillie,8.5,0.461,14.8,0,0.2,0.2,0.055,-3.4,-0.3,-3.7,-0.1
Xavier Tillman Sr.,14.7,0.605,14.3,1.4,1.5,2.9,0.127,-1.3,1.1,-0.2,0.5
Anthony Tolliver,4,0.433,9.8,-0.1,0.1,0.1,0.025,-5.6,-1.5,-7,-0.1
Obi Toppin,12.7,0.574,15.9,0.5,1,1.5,0.109,-1.4,0.7,-0.7,0.2
Juan Toscano-Anderson,12.6,0.676,11,1.4,1.6,3,0.13,-1.4,2.2,0.8,0.8
Axel Toupane,9,0.497,9.7,0.1,0.1,0.1,0.097,-4.1,1.1,-3,0
Karl-Anthony Towns,23.1,0.612,29.1,3.8,1.6,5.4,0.153,4.3,0.2,4.5,2.8
Gary Trent Jr.,12.1,0.534,20.9,1,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1
P.J. Tucker,5.5,0.51,7.2,0.1,0.9,1,0.034,-4.6,0.5,-4.1,-0.7
Rayjon Tucker,15.1,0.645,19.2,0.1,0.1,0.2,0.166,-3,-0.4,-3.4,0
Myles Turner,15.3,0.599,16.4,1.1,2.2,3.3,0.11,-1.6,2,0.4,0.9
Jonas Valančiūnas,24.4,0.636,22.4,5.1,2.6,7.8,0.213,3.2,-0.3,3,2.2
Denzel Valentine,10.1,0.479,19.5,-0.4,1.1,0.7,0.032,-2.2,-0.4,-2.7,-0.2
Jarred Vanderbilt,16.2,0.612,12.3,1.6,1.5,3.1,0.132,-1.4,1.4,-0.1,0.5
Fred VanVleet,16.8,0.534,23.9,2.4,1.8,4.3,0.108,2.2,0.2,2.5,2.2
